Time (s),Altitude (m),Altitude above sea level (m),Vertical velocity (m/s),Total velocity (m/s),Vertical acceleration (m/s²),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (° N),Longitude (° E),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),Gravitational acceleration (m/s²),CP location (cm),CG location (cm),Stability margin calibers (​),Thrust (N),Thrust-to-weight ratio (​),Drag force (N),Drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Axial drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Wind velocity (m/s),Wind direction (°),Air temperature (°C),Air pressure (mbar),Air density (g/cm³),Speed of sound (m/s),Mach number (​),Reynolds number (​),Reference length (cm),Reference area (cm²),Simulation time step (s),Computation time (s),Coriolis acceleration (m/s²)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,890,0,0,0,0,0,0,0,0,0,0,31.94,-102,84,0,0,0,84,90,21235.101,6718,14.089,0.068,9.792,NaN,193.006,NaN,0,0,0,0.523,0.403,0,0.12,0.001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.591,90,9.215,911.035,0.001,336.883,0.008,489910.566,15.524,189.288,0.01,0.001,0
0.01,0,890,0.012,0.012,6.93,7.145,0,0,0,0,0.003,1.741,31.94,-102,83.744,0,0,0,84,90,21231.581,6714.48,14.087,0.068,9.792,NaN,192.992,NaN,356.949,1.717,0,0.523,0.403,0,0.12,0.002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.578,90,9.215,911.035,0.001,336.883,0.008,487886.676,15.524,189.288,0.01,0.002,0
0.02,0.001,890.001,0.164,0.167,23.655,23.913,0,0,0,90,0.029,3.499,31.94,-102,80.371,0,0,0,84,90,21228.061,6710.96,14.084,0.068,9.792,NaN,192.978,NaN,713.898,3.434,0,0.522,0.402,0,0.12,0.006,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.564,90,9.215,911.035,0.001,336.883,0.008,491243.385,15.524,189.288,0.01,0.002,0
0.03,0.004,890.004,0.485,0.49,40.386,40.727,0.001,0,0.001,90,0.073,5.257,31.94,-102,73.532,0,0,0,84,90,21224.541,6707.44,14.082,0.068,9.792,NaN,192.964,NaN,1070.846,5.152,0.002,0.52,0.4,0,0.12,0.026,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.55,90,9.215,911.035,0.001,336.883,0.008,504352.619,15.524,189.288,0.01,0.003,0
0.04,0.011,890.011,0.972,0.981,57.123,57.552,0.002,0,0.002,90,0.134,7.014,31.94,-102,63.998,0,0,0,84,90,21221.021,6703.92,14.079,0.068,9.792,NaN,192.95,NaN,1427.795,6.871,0.008,0.515,0.395,0,0.12,0.089,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.537,90,9.215,911.034,0.001,336.883,0.008,537395.123,15.524,189.288,0.01,0.003,0
# Event LIFTOFF occurred at t=0.05 seconds
0.05,0.024,890.024,1.559,1.573,60.362,60.694,0.003,0,0.003,90,0.206,6.344,31.94,-102,54.26,0,0,0,84,90,21213.294,6696.193,14.073,0.068,9.792,NaN,192.92,NaN,1494.127,7.193,0.021,0.506,0.386,0,0.12,0.196,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.523,90,9.215,911.033,0.001,336.883,0.009,594240.832,15.524,189.288,0.01,0.004,0
0.06,0.042,890.042,2.178,2.195,63.497,63.847,0.006,0,0.006,90,0.271,6.674,31.94,-102,46.229,0,0,0,84,90,21205.567,6688.466,14.068,0.068,9.792,NaN,192.889,NaN,1560.459,7.515,0.041,0.497,0.377,0,0.12,0.306,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.54,90,9.215,911.031,0.001,336.883,0.011,672426.251,15.524,189.288,0.01,0.004,0
